season_id,draft_id,match_id,player1,player2,player1Wins,player2Wins,draws,round
Season-4,20250518,Season-4_20250518_1_Matthias_Lukas Stalder,Matthias,Lukas Stalder,1,2,0,1
Season-4,20250518,Season-4_20250518_1_Missing Player_Manuel,Missing Player,Manuel,0,2,0,1
Season-4,20250518,Season-4_20250518_1_Dimlas_Tommy,Dimlas,Tommy,2,0,0,1
Season-4,20250518,Season-4_20250518_1_Myri_Ivo,Myri,Ivo,1,2,0,1
Season-4,20250518,Season-4_20250518_1_Andrin_Tobi,Andrin,Tobi,2,1,0,1
Season-4,20250518,Season-4_20250518_2_Tommy_Missing Player,Tommy,Missing Player,2,0,0,2
Season-4,20250518,Season-4_20250518_2_Andrin_Manuel,Andrin,Manuel,2,0,0,2
Season-4,20250518,Season-4_20250518_2_Matthias_Myri,Matthias,Myri,2,0,0,2
Season-4,20250518,Season-4_20250518_2_Lukas Stalder_Tobi,Lukas Stalder,Tobi,1,2,0,2
Season-4,20250518,Season-4_20250518_2_Ivo_Dimlas,Ivo,Dimlas,0,2,0,2
Season-4,20250518,Season-4_20250518_3_Andrin_Dimlas,Andrin,Dimlas,0,2,0,3
Season-4,20250518,Season-4_20250518_3_Matthias_Ivo,Matthias,Ivo,1,2,0,3
Season-4,20250518,Season-4_20250518_3_Manuel_Lukas Stalder,Manuel,Lukas Stalder,2,1,0,3
Season-4,20250518,Season-4_20250518_3_Missing Player_Myri,Missing Player,Myri,0,2,0,3
Season-4,20250518,Season-4_20250518_3_Tommy_Tobi,Tommy,Tobi,2,1,0,3
Season-4,20250518,Season-4_20250518_4_Myri_Tobi,Myri,Tobi,1,2,0,4
Season-4,20250518,Season-4_20250518_4_Dimlas_Manuel,Dimlas,Manuel,2,1,0,4
Season-4,20250518,Season-4_20250518_4_Matthias_Missing Player,Matthias,Missing Player,2,0,0,4
Season-4,20250518,Season-4_20250518_4_Tommy_Lukas Stalder,Tommy,Lukas Stalder,0,2,0,4
Season-4,20250518,Season-4_20250518_4_Ivo_Andrin,Ivo,Andrin,0,2,0,4
Season-4,20250609,Season-4_20250609_1_Noe T._Sili,Noe T.,Sili,0,2,0,1
Season-4,20250609,Season-4_20250609_1_Dimlas_Andrin,Dimlas,Andrin,2,1,0,1
Season-4,20250609,Season-4_20250609_1_Pali_Valentin,Pali,Valentin,0,2,0,1
Season-4,20250609,Season-4_20250609_1_Tommy_Lukas Stalder,Tommy,Lukas Stalder,2,0,0,1
Season-4,20250609,Season-4_20250609_2_Andrin_Noe T.,Andrin,Noe T.,1,2,0,2
Season-4,20250609,Season-4_20250609_2_Valentin_Tommy,Valentin,Tommy,2,1,0,2
Season-4,20250609,Season-4_20250609_2_Lukas Stalder_Pali,Lukas Stalder,Pali,2,1,0,2
Season-4,20250609,Season-4_20250609_2_Sili_Dimlas,Sili,Dimlas,0,2,0,2
Season-4,20250609,Season-4_20250609_3_Sili_Tommy,Sili,Tommy,0,2,0,3
Season-4,20250609,Season-4_20250609_3_Lukas Stalder_Noe T.,Lukas Stalder,Noe T.,2,1,0,3
Season-4,20250609,Season-4_20250609_3_Valentin_Dimlas,Valentin,Dimlas,1,2,0,3
Season-4,20250609,Season-4_20250609_3_Andrin_Pali,Andrin,Pali,2,1,0,3
Season-4,20250609,Season-4_20250609_4_Valentin_Andrin,Valentin,Andrin,2,0,0,4
Season-4,20250609,Season-4_20250609_4_Dimlas_Lukas Stalder,Dimlas,Lukas Stalder,2,1,0,4
Season-4,20250609,Season-4_20250609_4_Noe T._Tommy,Noe T.,Tommy,2,0,0,4
Season-4,20250609,Season-4_20250609_4_Pali_Sili,Pali,Sili,0,2,0,4
Season-4,20250712,Season-4_20250712_1_Dimlas_Filipe,Dimlas,Filipe,2,1,0,1
Season-4,20250712,Season-4_20250712_1_Sam_Ivo,Sam,Ivo,0,2,0,1
Season-4,20250712,Season-4_20250712_1_Manuel_Yannik,Manuel,Yannik,1,1,1,1
Season-4,20250712,Season-4_20250712_1_Andrin_Tinu,Andrin,Tinu,1,2,0,1
Season-4,20250712,Season-4_20250712_1_Tommy_Guy,Tommy,Guy,0,2,0,1
Season-4,20250712,Season-4_20250712_1_Lukas Stalder_Noe T.,Lukas Stalder,Noe T.,2,0,0,1
Season-4,20250712,Season-4_20250712_2_Sam_Tommy,Sam,Tommy,0,1,0,2
Season-4,20250712,Season-4_20250712_2_Lukas Stalder_Ivo,Lukas Stalder,Ivo,2,1,0,2
Season-4,20250712,Season-4_20250712_2_Andrin_Noe T.,Andrin,Noe T.,2,0,0,2
Season-4,20250712,Season-4_20250712_2_Manuel_Guy,Manuel,Guy,1,2,0,2
Season-4,20250712,Season-4_20250712_2_Tinu_Dimlas,Tinu,Dimlas,1,2,0,2
Season-4,20250712,Season-4_20250712_2_Yannik_Filipe,Yannik,Filipe,2,0,0,2
Season-4,20250712,Season-4_20250712_3_Andrin_Tommy,Andrin,Tommy,2,1,0,3
Season-4,20250712,Season-4_20250712_3_Manuel_Filipe,Manuel,Filipe,2,0,0,3
Season-4,20250712,Season-4_20250712_3_Lukas Stalder_Yannik,Lukas Stalder,Yannik,2,1,0,3
Season-4,20250712,Season-4_20250712_3_Ivo_Tinu,Ivo,Tinu,2,1,0,3
Season-4,20250712,Season-4_20250712_3_Guy_Dimlas,Guy,Dimlas,0,2,0,3
Season-4,20250712,Season-4_20250712_3_Noe T._Sam,Noe T.,Sam,0,2,0,3
Season-4,20250712,Season-4_20250712_4_Ivo_Andrin,Ivo,Andrin,2,1,0,4
Season-4,20250712,Season-4_20250712_4_Guy_Yannik,Guy,Yannik,2,0,0,4
Season-4,20250712,Season-4_20250712_4_Manuel_Sam,Manuel,Sam,2,0,0,4
Season-4,20250712,Season-4_20250712_4_Dimlas_Lukas Stalder,Dimlas,Lukas Stalder,1,2,0,4
Season-4,20250712,Season-4_20250712_4_Tommy_Tinu,Tommy,Tinu,0,2,0,4
Season-4,20250712,Season-4_20250712_4_Noe T._Filipe,Noe T.,Filipe,2,0,0,4
