season_id,scryfallId,archetype,count
Season-4,19477aca-b8db-4061-9a78-ebb189a9df22,Aggro-Control (Tempo),1
Season-4,19477aca-b8db-4061-9a78-ebb189a9df22,Combo,2
Season-4,19477aca-b8db-4061-9a78-ebb189a9df22,Combo-Control,1
Season-4,19477aca-b8db-4061-9a78-ebb189a9df22,Control,4
Season-4,19557351-b65f-4b04-b971-66abdc07000a,Aggro,1
Season-4,19557351-b65f-4b04-b971-66abdc07000a,Combo-Control,1
Season-4,19557351-b65f-4b04-b971-66abdc07000a,Control,3
Season-4,19557351-b65f-4b04-b971-66abdc07000a,Control-Aggro (Midrange),1
Season-4,19adde22-e5eb-4815-beb6-c520b3274cc9,Aggro,2
Season-4,19adde22-e5eb-4815-beb6-c520b3274cc9,Aggro-Combo,2
Season-4,19adde22-e5eb-4815-beb6-c520b3274cc9,Combo,1
Season-4,19adde22-e5eb-4815-beb6-c520b3274cc9,Combo-Control,1
Season-4,19adde22-e5eb-4815-beb6-c520b3274cc9,Control,1
Season-4,19adde22-e5eb-4815-beb6-c520b3274cc9,Control-Aggro (Midrange),2
Season-4,1a55c370-d396-4c73-8ee2-83dc4c124005,Aggro-Control (Tempo),2
Season-4,1a55c370-d396-4c73-8ee2-83dc4c124005,Combo-Control,2
Season-4,1a55c370-d396-4c73-8ee2-83dc4c124005,Control,1
Season-4,1a55c370-d396-4c73-8ee2-83dc4c124005,Control-Aggro (Midrange),1
Season-4,1a6f256b-943e-4cfb-9fc9-d1ded68b5f97,Combo,2
Season-4,1a6f256b-943e-4cfb-9fc9-d1ded68b5f97,Control,3
Season-4,1ac01fff-4de6-4783-9489-4127e25bc641,Aggro,2
Season-4,1ac01fff-4de6-4783-9489-4127e25bc641,Aggro-Control (Tempo),2
Season-4,1ac01fff-4de6-4783-9489-4127e25bc641,Combo,3
Season-4,1ac01fff-4de6-4783-9489-4127e25bc641,Combo-Control,1
Season-4,1ac01fff-4de6-4783-9489-4127e25bc641,Control,1
